iter	Passed	Remaining
701	46575	19771
702	46642	19705
703	46712	19640
704	46778	19574
705	46846	19508
706	46911	19441
707	46975	19374
708	47036	19305
709	47102	19239
710	47166	19171
711	47232	19105
712	47303	19040
713	47373	18976
714	47437	18908
715	47502	18841
716	47567	18774
717	47631	18707
718	47701	18642
719	47767	18576
720	47829	18508
721	47894	18441
722	47957	18373
723	48020	18306
724	48085	18239
725	48149	18172
726	48215	18105
727	48280	18039
728	48349	17973
729	48422	17909
730	48485	17841
731	48552	17776
732	48616	17708
733	48687	17644
734	48753	17577
735	48820	17511
736	48886	17445
737	48951	17378
738	49017	17311
739	49084	17245
740	49148	17178
741	49213	17111
742	49280	17045
743	49347	16979
744	49409	16912
745	49483	16848
746	49550	16782
747	49615	16715
748	49675	16646
749	49737	16579
750	49803	16512
751	49865	16445
752	49930	16378
753	49997	16312
754	50077	16250
755	50149	16185
756	50215	16119
757	50271	16049
758	50351	15987
759	50416	15920
760	50490	15857
761	50578	15797
762	50677	15741
763	50756	15678
764	50822	15612
765	50895	15547
766	50993	15490
767	51087	15432
768	51169	15370
769	51246	15307
770	51330	15246
771	51429	15188
772	51520	15129
773	51601	15067
774	51669	15000
775	51728	14932
776	51796	14865
777	51860	14798
778	51927	14731
779	52025	14673
780	52108	14611
781	52171	14544
782	52239	14477
783	52305	14410
784	52371	14343
785	52432	14275
786	52499	14208
787	52564	14141
788	52640	14077
789	52711	14011
790	52774	13944
791	52840	13877
792	52904	13809
793	52972	13743
794	53036	13676
795	53102	13609
796	53168	13542
797	53236	13475
798	53301	13408
799	53371	13342
800	53501	13291
801	53570	13225
802	53633	13157
803	53712	13094
804	53782	13027
805	53848	12960
806	53915	12894
807	53982	12827
808	54046	12760
809	54111	12692
810	54178	12625
811	54245	12559
812	54325	12495
813	54392	12428
814	54460	12362
815	54524	12294
816	54591	12227
817	54662	12162
818	54730	12095
819	54808	12031
820	54870	11963
821	54934	11895
822	54995	11827
823	55060	11760
824	55127	11693
825	55193	11626
826	55262	11560
827	55327	11493
828	55394	11426
829	55462	11359
830	55530	11293
831	55599	11226
832	55670	11160
833	55735	11093
834	55800	11026
835	55879	10962
836	55948	10895
837	56016	10828
838	56080	10761
839	56150	10695
840	56214	10627
841	56280	10561
842	56346	10493
843	56414	10427
844	56481	10360
845	56548	10293
846	56617	10227
847	56685	10160
848	56753	10093
849	56819	10027
850	56890	9960
851	56966	9895
852	57032	9828
853	57088	9759
854	57152	9692
855	57217	9625
856	57281	9557
857	57346	9490
858	57413	9424
859	57479	9357
860	57544	9290
861	57613	9223
862	57684	9157
863	57763	9092
864	57828	9025
865	57893	8958
866	57964	8891
867	58036	8825
868	58104	8759
869	58169	8692
870	58233	8624
871	58299	8557
872	58365	8490
873	58431	8423
874	58495	8356
875	58559	8289
876	58625	8222
877	58707	8157
878	58773	8090
879	58837	8023
880	58910	7957
881	58973	7889
882	59054	7824
883	59120	7757
884	59186	7690
885	59253	7624
886	59317	7556
887	59383	7489
888	59449	7422
889	59514	7355
890	59577	7288
891	59643	7221
892	59710	7154
893	59776	7087
894	59841	7020
895	59906	6953
896	59973	6886
897	60036	6819
898	60112	6753
899	60181	6686
900	60245	6619
901	60307	6552
902	60372	6485
903	60437	6418
904	60505	6351
905	60568	6284
906	60631	6216
907	60704	6150
908	60784	6085
909	60850	6018
910	60915	5951
911	60982	5884
912	61043	5816
913	61108	5749
914	61185	5683
915	61252	5617
916	61323	5550
917	61385	5483
918	61450	5416
919	61519	5349
920	61587	5282
921	61657	5216
922	61721	5149
923	61786	5082
924	61851	5014
925	61915	4947
926	61980	4880
927	62043	4813
928	62106	4746
929	62172	4679
930	62249	4613
931	62315	4546
932	62381	4479
